GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,source_player_id,collection_timestamp,PLAYER_ID,PLAYER_NAME
Overall,2024,12,26,0.462,6,14,0.429,0.577,1,0.833,0.167,1.0,0.0,0.917,0.083,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Overall,2024-25,182,417,0.436,91,248,0.367,0.546,10,0.758,0.242,0.934,0.066,0.846,0.154,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),Less Than 5 ft.,17,30,0.567,0,0,0.0,0.567,4,0.588,0.412,0.0,0.0,0.588,0.412,5.0,5.0,2.0,4.0,6.0,4.0,3.0,8.0,5.0,1.0,3.0,4.0,6.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),5-9 ft.,14,25,0.56,0,0,0.0,0.56,4,0.714,0.286,0.0,0.0,0.714,0.286,6.0,6.0,3.0,4.0,6.0,4.0,4.0,8.0,3.0,3.0,3.0,4.0,4.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),10-14 ft.,24,49,0.49,0,0,0.0,0.49,1,0.667,0.333,0.0,0.0,0.667,0.333,4.0,4.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,2.0,3.0,4.0,5.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),15-19 ft.,37,65,0.569,0,0,0.0,0.569,2,0.892,0.108,0.0,0.0,0.892,0.108,2.0,3.0,1.0,4.0,6.0,4.0,2.0,7.0,2.0,4.0,3.0,4.0,3.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),20-24 ft.,26,79,0.329,21,67,0.313,0.462,0,1.0,0.0,0.952,0.048,0.962,0.038,3.0,2.0,7.0,2.0,2.0,3.0,7.0,1.0,1.0,5.0,1.0,3.0,1.0,7.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),25-29 ft.,75,189,0.397,75,189,0.397,0.595,0,0.0,0.0,0.947,0.053,0.947,0.053,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,2.0,2.0,2.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),30-34 ft.,1,3,0.333,1,3,0.333,0.5,0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,6.0,3.0,3.0,2.0,5.0,1.0,6.0,5.0,3.0,1.0,7.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),35-39 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,4.0,5.0,4.0,8.0,1.0,6.0,5.0,3.0,4.0,7.0,8.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (5ft),40+ ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,4.0,4.0,4.0,8.0,1.0,6.0,5.0,3.0,4.0,7.0,8.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),Less Than 8 ft.,24,45,0.533,0,0,0.0,0.533,7,0.667,0.333,0.0,0.0,0.667,0.333,4.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,4.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),8-16 ft.,40,74,0.541,0,0,0.0,0.541,2,0.675,0.325,0.0,0.0,0.675,0.325,2.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),16-24 ft.,33,62,0.532,0,0,0.0,0.532,2,0.939,0.061,0.0,0.0,0.939,0.061,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),24+ ft.,97,260,0.373,97,260,0.373,0.56,0,0.0,0.0,0.938,0.062,0.938,0.062,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Distance (8ft),Back Court Shot,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Restricted Area,15,24,0.625,0,0,0.0,0.625,4,0.533,0.467,0.0,0.0,0.533,0.467,4.0,5.0,1.0,4.0,5.0,4.0,1.0,6.0,3.0,1.0,4.0,3.0,6.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,In The Paint (Non-RA),25,49,0.51,0,0,0.0,0.51,5,0.68,0.32,0.0,0.0,0.68,0.32,3.0,3.0,3.0,4.0,5.0,4.0,4.0,7.0,2.0,2.0,4.0,3.0,5.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Mid-Range,57,108,0.528,0,0,0.0,0.528,2,0.86,0.14,0.0,0.0,0.86,0.14,2.0,2.0,2.0,4.0,5.0,4.0,3.0,5.0,1.0,3.0,4.0,3.0,4.0,3.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Left Corner 3,9,33,0.273,9,33,0.273,0.409,0,0.0,0.0,0.889,0.111,0.889,0.111,5.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Right Corner 3,4,15,0.267,4,15,0.267,0.4,0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,1.0,4.0,4.0,1.0,3.0,1.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Above the Break 3,84,213,0.394,84,213,0.394,0.592,0,0.0,0.0,0.94,0.06,0.94,0.06,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1629751,2025-08-10T09:40:51.204330,,
Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,4.0,4.0,7.0,1.0,4.0,4.0,4.0,3.0,7.0,6.0,1629751,2025-08-10T09:40:51.204330,,
Assisted Shot,Assisted,165,165,1.0,91,91,1.0,1.276,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1629751,2025-08-10T09:40:51.204330,,
Assisted Shot,Unassisted,29,29,1.0,6,6,1.0,1.103,0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Alley Oop,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Alley Oop,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Bank Shot,1,3,0.333,0,0,0.0,0.333,1,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Bank Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Dunk,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Dunk,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Fadeaway,1,2,0.5,0,0,0.0,0.5,1,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Fadeaway,12,23,0.522,2,2,1.0,0.565,0,0.4,0.6,0.5,0.5,0.417,0.583,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Finger Roll,4,6,0.667,0,0,0.0,0.667,1,0.75,0.25,0.0,0.0,0.75,0.25,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Finger Roll,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Jump Shot,12,25,0.48,6,14,0.429,0.6,0,0.833,0.167,1.0,0.0,0.917,0.083,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Jump Shot,157,377,0.416,90,247,0.364,0.536,5,0.836,0.164,0.944,0.056,0.898,0.102,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Layup,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Layup,19,30,0.633,0,0,0.0,0.633,5,0.632,0.368,0.0,0.0,0.632,0.368,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Tip Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Summary,Tip Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1629751,2025-08-10T09:40:51.204330,,
Shot Type Detail,Alley Oop Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Alley Oop Layup shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Cutting Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Cutting Finger Roll Layup Shot,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,17.0,1.0,9.0,10.0,9.0,1.0,1.0,1.0,13.0,8.0,6.0,1.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Cutting Layup Shot,3,6,0.5,0,0,0.0,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,11.0,10.0,12.0,9.0,10.0,9.0,14.0,36.0,1.0,13.0,8.0,6.0,1.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Finger Roll Layup Shot,3,5,0.6,0,0,0.0,0.6,1,0.667,0.333,0.0,0.0,0.667,0.333,11.0,11.0,5.0,9.0,10.0,9.0,7.0,36.0,9.0,7.0,8.0,6.0,10.0,7.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Floating Bank Jump Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Floating Jump Shot,4,7,0.571,0,0,0.0,0.571,0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,1.0,1.0,13.0,8.0,6.0,1.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Layup Shot,5,8,0.625,0,0,0.0,0.625,2,0.4,0.6,0.0,0.0,0.4,0.6,6.0,8.0,4.0,9.0,10.0,9.0,6.0,41.0,13.0,5.0,8.0,6.0,14.0,5.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Driving Reverse Layup Shot,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,17.0,1.0,9.0,10.0,9.0,1.0,1.0,15.0,1.0,8.0,6.0,16.0,1.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Fadeaway Bank shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Fadeaway Jump Shot,7,14,0.5,1,1,1.0,0.536,0,0.5,0.5,1.0,0.0,0.571,0.429,3.0,5.0,12.0,7.0,7.0,1.0,13.0,1.0,12.0,6.0,1.0,6.0,13.0,6.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Floating Jump shot,3,5,0.6,0,1,0.0,0.6,0,0.667,0.333,0.0,0.0,0.667,0.333,11.0,11.0,5.0,9.0,7.0,9.0,7.0,1.0,9.0,7.0,8.0,6.0,10.0,7.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Hook Bank Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Jump Bank Shot,1,2,0.5,0,0,0.0,0.5,1,0.0,1.0,0.0,0.0,0.0,1.0,15.0,16.0,12.0,9.0,10.0,9.0,14.0,36.0,15.0,1.0,8.0,6.0,16.0,1.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Jump Shot,86,224,0.384,72,193,0.373,0.545,2,0.857,0.143,0.972,0.028,0.953,0.047,1.0,1.0,15.0,1.0,1.0,6.0,12.0,41.0,7.0,11.0,4.0,5.0,5.0,14.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Layup Shot,1,3,0.333,0,0,0.0,0.333,1,0.0,1.0,0.0,0.0,0.0,1.0,15.0,15.0,16.0,9.0,10.0,9.0,18.0,36.0,15.0,1.0,8.0,6.0,16.0,1.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Pullup Jump shot,48,94,0.511,10,26,0.385,0.564,2,0.895,0.105,0.9,0.1,0.896,0.104,2.0,2.0,11.0,2.0,2.0,5.0,11.0,41.0,6.0,12.0,5.0,4.0,6.0,13.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Putback Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Putback Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Alley Oop Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Alley Oop Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Finger Roll Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Jump Shot,5,19,0.263,5,19,0.263,0.395,0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,4.0,18.0,3.0,3.0,8.0,17.0,1.0,15.0,13.0,1.0,6.0,1.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Layup Shot,5,5,1.0,0,0,0.0,1.0,0,0.8,0.2,0.0,0.0,0.8,0.2,6.0,11.0,1.0,9.0,10.0,9.0,1.0,1.0,8.0,10.0,8.0,6.0,8.0,10.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Pull-Up Jump Shot,3,5,0.6,2,4,0.5,0.8,0,1.0,0.0,0.5,0.5,0.667,0.333,11.0,11.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,13.0,7.0,2.0,10.0,7.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Reverse Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Running Reverse Layup Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Step Back Jump shot,7,22,0.318,4,15,0.267,0.409,0,1.0,0.0,0.75,0.25,0.857,0.143,3.0,3.0,17.0,4.0,4.0,7.0,16.0,1.0,1.0,13.0,6.0,3.0,7.0,12.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Tip Dunk Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Tip Layup Shot,0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Turnaround Bank Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Turnaround Bank shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Turnaround Fadeaway shot,6,11,0.545,1,1,1.0,0.591,1,0.2,0.8,0.0,1.0,0.167,0.833,5.0,6.0,10.0,7.0,7.0,1.0,9.0,36.0,14.0,4.0,8.0,1.0,15.0,4.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Turnaround Hook Shot,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0,19.0,9.0,10.0,9.0,19.0,1.0,15.0,13.0,8.0,6.0,16.0,15.0,1629751,2025-08-10T09:40:51.205341,,
Shot Type Detail,Turnaround Jump Shot,5,9,0.556,2,2,1.0,0.667,0,0.667,0.333,1.0,0.0,0.8,0.2,6.0,7.0,9.0,5.0,6.0,1.0,5.0,1.0,9.0,7.0,1.0,6.0,8.0,10.0,1629751,2025-08-10T09:40:51.205341,,
Assisted By,,1,1,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,13.0,1.0,17.0,17.0,17.0,17.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1631112.0,"Brown, Kendall"
Assisted By,,23,23,1.0,15,15,1.0,1.326,0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1642484.0,"Dennis, RayJ"
Assisted By,,9,9,1.0,5,5,1.0,1.278,0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,1.0,9.0,9.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1642402.0,"Freeman, Enrique"
Assisted By,,2,2,1.0,1,1,1.0,1.25,0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,11.0,1.0,11.0,11.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1642277.0,"Furphy, Johnny"
Assisted By,,19,19,1.0,10,10,1.0,1.263,0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1642027.0,"Harmon, De'Vion"
Assisted By,,2,2,1.0,1,1,1.0,1.25,0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,11.0,1.0,11.0,11.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1627208.0,"Hicks, Stephan"
Assisted By,,9,9,1.0,3,3,1.0,1.167,0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,1.0,10.0,10.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1631245.0,"Jackson, Quenton"
Assisted By,,15,15,1.0,8,8,1.0,1.267,0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,5.0,5.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1631249.0,"James, Josiah-Jordan"
Assisted By,,12,12,1.0,8,8,1.0,1.333,0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,1.0,5.0,5.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1631497.0,"Lane, Ishmael"
Assisted By,,17,17,1.0,10,10,1.0,1.294,0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,3.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1630667.0,"Mangas, Kyle"
Assisted By,,9,9,1.0,6,6,1.0,1.333,0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,1.0,7.0,7.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1630787.0,"McGriff, Cameron"
Assisted By,,1,1,1.0,1,1,1.0,1.5,0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,13.0,1.0,11.0,11.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1642427.0,"McNeace, Jamuni"
Assisted By,,1,1,1.0,1,1,1.0,1.5,0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,13.0,1.0,11.0,11.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1641803.0,"Newton, Tristen"
Assisted By,,8,8,1.0,6,6,1.0,1.375,0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,10.0,1.0,7.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1629751,2025-08-10T09:40:51.205341,1630750.0,"Noel, Obadiah"
