gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,source_game_id,collection_timestamp
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642591.0,Jeremy,Jones,J. Jones,jeremy-jones,,,,25:57,0.25,0.75,0.182,0.0,0.818,0.0,0.0,0.0,0.182,1.0,0.0,1.0,0.0,1.0,0.0,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1641806.0,Markquis,Nowell,M. Nowell,markquis-nowell,,,,25:39,0.455,0.545,0.353,0.118,0.529,0.0,0.118,0.118,0.235,0.667,0.333,0.667,0.333,0.667,0.333,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1629729.0,Josh,Reaves,J. Reaves,josh-reaves,,,,8:44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642592.0,Teddy,Allen,T. Allen,teddy-allen,,,,20:29,0.438,0.563,0.4,0.0,0.6,0.1,0.0,0.35,0.4,0.5,0.5,1.0,0.0,0.75,0.25,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,1642516.0,Kevin,"Cross, Jr.","K. Cross, Jr.","kevin-cross,-jr",,,,9:33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709908,Rio Grande Valley,Vipers,RGV,vipers,,,,,,,,,240:00,0.573,0.427,0.5,0.016,0.387,0.081,0.089,0.226,0.484,0.581,0.419,0.938,0.063,0.702,0.298,2022400370,2025-08-10T09:36:06.685066
2022400370,1612709904,Sioux Falls,Skyforce,SXF,skyforce,,,,,,,,,240:00,0.596,0.404,0.588,0.034,0.328,0.168,0.05,0.151,0.555,0.371,0.629,0.923,0.077,0.521,0.479,2022400370,2025-08-10T09:36:06.685066
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1641787.0,Tosan,Evbuomwan,T. Evbuomwan,tosan-evbuomwan,F,,,26:55,0.75,0.25,0.571,0.0,0.429,0.0,0.0,0.286,0.571,0.0,1.0,1.0,0.0,0.333,0.667,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630649.0,Stanley,Umude,S. Umude,stanley-umude,F,,,33:48,0.588,0.412,0.588,0.118,0.353,0.0,0.059,0.118,0.471,0.6,0.4,1.0,0.0,0.714,0.286,2022300370,2025-08-10T09:36:18.336153
2022300370,1612709932,Motor City,Cruise,MCC,cruise,1630233.0,Nathan,Knight,N. Knight,nathan-knight,C,,,37:04,0.727,0.273,0.444,0.0,0.0,0.0,0.278,0.111,0.444,1.0,0.0,0.0,0.0,1.0,0.0,2022300370,2025-08-10T09:36:18.336153
