SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,league_id,league_name,season_type,season_type_name
22023,1611661319,LVA,Las Vegas Aces,1022300047,2023-06-11,LVA vs. CHI,W,202,93,38,65,0.585,6,16,0.375,11,13,0.846,7,26,33,21,10,3,14,18,13.0,10,WNBA,Regular Season,Regular
22023,1611661317,PHO,Phoenix Mercury,1022300049,2023-06-11,PHO @ IND,W,199,85,29,64,0.453,9,24,0.375,18,21,0.857,7,22,29,20,7,2,10,17,3.0,10,WNBA,Regular Season,Regular
22023,1611661322,WAS,Washington Mystics,1022300050,2023-06-11,WAS @ SEA,W,200,71,21,59,0.356,11,25,0.44,18,22,0.818,8,32,40,14,8,4,18,20,6.0,10,WNBA,Regular Season,Regular
22023,1611661313,NYL,New York Liberty,1022300046,2023-06-11,NYL vs. DAL,W,200,102,39,70,0.557,13,28,0.464,11,14,0.786,5,33,38,31,3,3,11,19,9.0,10,WNBA,Regular Season,Regular
22023,1611661324,MIN,Minnesota Lynx,1022300051,2023-06-11,MIN vs. LAS,W,199,91,30,67,0.448,7,26,0.269,24,25,0.96,8,30,38,20,7,1,12,15,5.0,10,WNBA,Regular Season,Regular
22023,1611661330,ATL,Atlanta Dream,1022300048,2023-06-11,ATL vs. CON,L,200,77,26,62,0.419,5,19,0.263,20,24,0.833,10,27,37,15,6,6,26,27,-12.0,10,WNBA,Regular Season,Regular
22023,1611661317,PHO,Phoenix Mercury,1022300042,2023-06-09,PHO @ DAL,L,199,77,30,68,0.441,4,20,0.2,13,17,0.765,8,23,31,23,8,10,16,17,-13.0,10,WNBA,Regular Season,Regular
22023,1611661330,ATL,Atlanta Dream,1022300041,2023-06-09,ATL vs. NYL,L,200,83,30,67,0.448,9,20,0.45,14,22,0.636,5,29,34,17,3,3,17,21,-23.0,10,WNBA,Regular Season,Regular
22023,1611661324,MIN,Minnesota Lynx,1022300043,2023-06-09,MIN vs. IND,L,200,69,24,63,0.381,5,16,0.313,16,20,0.8,6,32,38,17,5,3,13,14,-2.0,10,WNBA,Regular Season,Regular
22023,1611661321,DAL,Dallas Wings,1022300042,2023-06-09,DAL vs. PHO,W,200,90,32,82,0.39,8,29,0.276,18,19,0.947,17,24,41,22,7,9,14,19,13.0,10,WNBA,Regular Season,Regular
22023,1611661322,WAS,Washington Mystics,1022300045,2023-06-09,WAS @ SEA,W,200,73,26,68,0.382,6,22,0.273,15,18,0.833,13,28,41,19,8,3,14,16,7.0,10,WNBA,Regular Season,Regular
22023,1611661325,IND,Indiana Fever,1022300043,2023-06-09,IND @ MIN,W,200,71,28,69,0.406,6,20,0.3,9,13,0.692,6,28,34,18,4,2,11,20,2.0,10,WNBA,Regular Season,Regular
22023,1611661313,NYL,New York Liberty,1022300041,2023-06-09,NYL @ ATL,W,201,106,34,75,0.453,14,30,0.467,24,26,0.923,9,28,37,23,9,9,10,21,23.0,10,WNBA,Regular Season,Regular
22023,1611661329,CHI,Chicago Sky,1022300044,2023-06-09,CHI @ LAS,L,200,62,27,67,0.403,4,23,0.174,4,8,0.5,7,27,34,15,10,10,16,19,-15.0,10,WNBA,Regular Season,Regular
22023,1611661328,SEA,Seattle Storm,1022300045,2023-06-09,SEA vs. WAS,L,199,66,25,61,0.41,6,21,0.286,10,14,0.714,2,28,30,17,5,6,16,15,-7.0,10,WNBA,Regular Season,Regular
22023,1611661320,LAS,Los Angeles Sparks,1022300044,2023-06-09,LAS vs. CHI,W,201,77,28,73,0.384,3,20,0.15,18,22,0.818,10,32,42,16,10,1,10,9,15.0,10,WNBA,Regular Season,Regular
22023,1611661319,LVA,Las Vegas Aces,1022300040,2023-06-08,LVA @ CON,L,202,77,28,60,0.467,9,21,0.429,12,17,0.706,5,21,26,18,8,5,16,18,-17.0,10,WNBA,Regular Season,Regular
22023,1611661323,CON,Connecticut Sun,1022300040,2023-06-08,CON vs. LVA,W,200,94,37,70,0.529,8,14,0.571,12,16,0.75,10,24,34,28,12,2,12,20,17.0,10,WNBA,Regular Season,Regular
22023,1611661317,PHO,Phoenix Mercury,1022300039,2023-06-07,PHO @ DAL,L,202,79,31,70,0.443,7,26,0.269,10,13,0.769,4,22,26,25,10,6,15,26,-5.0,10,WNBA,Regular Season,Regular
22023,1611661321,DAL,Dallas Wings,1022300039,2023-06-07,DAL vs. PHO,W,201,84,30,77,0.39,4,23,0.174,20,27,0.741,15,35,50,13,6,6,17,17,5.0,10,WNBA,Regular Season,Regular
22023,1611661323,CON,Connecticut Sun,1022300035,2023-06-06,CON vs. LVA,L,200,84,29,71,0.408,10,26,0.385,16,23,0.696,10,24,34,22,6,2,15,21,-6.0,10,WNBA,Regular Season,Regular
22023,1611661325,IND,Indiana Fever,1022300036,2023-06-06,IND @ CHI,L,225,103,40,73,0.548,9,20,0.45,14,16,0.875,10,25,35,24,3,2,15,20,-5.0,10,WNBA,Regular Season,Regular
22023,1611661320,LAS,Los Angeles Sparks,1022300037,2023-06-06,LAS @ SEA,L,200,63,22,56,0.393,5,15,0.333,14,16,0.875,3,30,33,19,6,3,21,21,-3.0,10,WNBA,Regular Season,Regular
22023,1611661319,LVA,Las Vegas Aces,1022300035,2023-06-06,LVA @ CON,W,200,90,32,63,0.508,4,15,0.267,22,26,0.846,5,26,31,25,9,6,14,17,6.0,10,WNBA,Regular Season,Regular
22023,1611661329,CHI,Chicago Sky,1022300036,2023-06-06,CHI vs. IND,W,224,108,38,76,0.5,9,21,0.429,23,25,0.92,4,21,25,26,10,2,4,18,5.0,10,WNBA,Regular Season,Regular
22023,1611661328,SEA,Seattle Storm,1022300037,2023-06-06,SEA vs. LAS,W,201,66,22,68,0.324,4,20,0.2,18,22,0.818,9,28,37,10,11,5,13,22,3.0,10,WNBA,Regular Season,Regular
22023,1611661319,LVA,Las Vegas Aces,1022300034,2023-06-04,LVA @ IND,W,200,84,32,72,0.444,4,21,0.19,16,22,0.727,6,29,35,21,6,6,5,15,4.0,10,WNBA,Regular Season,Regular
22023,1611661329,CHI,Chicago Sky,1022300033,2023-06-04,CHI @ NYL,W,198,86,30,67,0.448,9,23,0.391,17,27,0.63,6,28,34,19,4,8,12,13,4.0,10,WNBA,Regular Season,Regular
22023,1611661313,NYL,New York Liberty,1022300033,2023-06-04,NYL vs. CHI,L,200,82,33,74,0.446,6,25,0.24,10,14,0.714,7,34,41,25,7,1,16,24,-4.0,10,WNBA,Regular Season,Regular
22023,1611661323,CON,Connecticut Sun,1022300032,2023-06-04,CON vs. DAL,W,201,80,28,62,0.452,5,16,0.313,19,23,0.826,6,28,34,21,7,1,17,18,6.0,10,WNBA,Regular Season,Regular
22023,1611661321,DAL,Dallas Wings,1022300032,2023-06-04,DAL @ CON,L,199,74,24,65,0.369,9,26,0.346,17,19,0.895,11,22,33,17,6,2,17,24,-6.0,10,WNBA,Regular Season,Regular
22023,1611661325,IND,Indiana Fever,1022300034,2023-06-04,IND vs. LVA,L,199,80,31,71,0.437,11,19,0.579,7,10,0.7,4,35,39,17,3,2,11,23,-4.0,10,WNBA,Regular Season,Regular
22023,1611661320,LAS,Los Angeles Sparks,1022300031,2023-06-03,LAS vs. SEA,W,200,92,31,68,0.456,7,19,0.368,23,27,0.852,7,27,34,24,13,1,7,14,7.0,10,WNBA,Regular Season,Regular
22023,1611661328,SEA,Seattle Storm,1022300031,2023-06-03,SEA @ LAS,L,201,85,30,65,0.462,13,25,0.52,12,16,0.75,6,31,37,18,3,9,16,23,-7.0,10,WNBA,Regular Season,Regular
22023,1611661324,MIN,Minnesota Lynx,1022300030,2023-06-03,MIN @ WAS,W,201,80,28,63,0.444,9,24,0.375,15,17,0.882,7,32,39,19,4,0,16,14,2.0,10,WNBA,Regular Season,Regular
22023,1611661322,WAS,Washington Mystics,1022300030,2023-06-03,WAS vs. MIN,L,199,78,28,71,0.394,9,30,0.3,13,14,0.929,7,24,31,16,8,3,8,17,-2.0,10,WNBA,Regular Season,Regular
22023,1611661317,PHO,Phoenix Mercury,1022300029,2023-06-02,PHO vs. LAS,L,225,93,32,61,0.525,8,24,0.333,21,26,0.808,6,23,29,21,3,5,20,23,-6.0,10,WNBA,Regular Season,Regular
22023,1611661322,WAS,Washington Mystics,1022300026,2023-06-02,WAS vs. DAL,W,202,75,19,59,0.322,8,23,0.348,29,31,0.935,4,36,40,16,7,3,15,17,1.0,10,WNBA,Regular Season,Regular
22023,1611661319,LVA,Las Vegas Aces,1022300027,2023-06-02,LVA @ ATL,W,201,92,33,70,0.471,6,21,0.286,20,25,0.8,5,26,31,17,9,4,11,13,5.0,10,WNBA,Regular Season,Regular
22023,1611661330,ATL,Atlanta Dream,1022300027,2023-06-02,ATL vs. LVA,L,201,87,34,74,0.459,10,24,0.417,9,10,0.9,6,30,36,26,5,3,15,21,-5.0,10,WNBA,Regular Season,Regular
22023,1611661320,LAS,Los Angeles Sparks,1022300029,2023-06-02,LAS @ PHO,W,226,99,37,75,0.493,8,24,0.333,17,19,0.895,8,21,29,22,8,2,13,22,6.0,10,WNBA,Regular Season,Regular
22023,1611661313,NYL,New York Liberty,1022300028,2023-06-02,NYL @ CHI,W,199,77,31,67,0.463,9,26,0.346,6,7,0.857,3,25,28,23,5,7,11,13,1.0,10,WNBA,Regular Season,Regular
22023,1611661329,CHI,Chicago Sky,1022300028,2023-06-02,CHI vs. NYL,L,201,76,30,71,0.423,11,19,0.579,5,7,0.714,10,28,38,20,4,3,13,17,-1.0,10,WNBA,Regular Season,Regular
22023,1611661321,DAL,Dallas Wings,1022300026,2023-06-02,DAL @ WAS,L,201,74,26,76,0.342,9,32,0.281,13,16,0.813,11,34,45,18,10,2,10,25,-1.0,10,WNBA,Regular Season,Regular
22023,1611661323,CON,Connecticut Sun,1022300025,2023-06-01,CON @ MIN,W,200,89,36,71,0.507,7,23,0.304,10,11,0.909,9,20,29,27,5,4,11,18,5.0,10,WNBA,Regular Season,Regular
22023,1611661324,MIN,Minnesota Lynx,1022300025,2023-06-01,MIN vs. CON,L,200,84,27,60,0.45,8,19,0.421,22,26,0.846,9,23,32,16,4,3,14,18,-5.0,10,WNBA,Regular Season,Regular
22023,1611661323,CON,Connecticut Sun,1022300022,2023-05-30,CON vs. IND,W,201,81,29,72,0.403,7,21,0.333,16,22,0.727,14,31,45,22,3,4,11,16,3.0,10,WNBA,Regular Season,Regular
22023,1611661325,IND,Indiana Fever,1022300022,2023-05-30,IND @ CON,L,200,78,31,73,0.425,4,21,0.19,12,14,0.857,10,27,37,16,5,6,10,21,-3.0,10,WNBA,Regular Season,Regular
22023,1611661313,NYL,New York Liberty,1022300024,2023-05-30,NYL @ SEA,W,201,86,28,57,0.491,9,24,0.375,21,23,0.913,3,29,32,23,3,11,13,17,8.0,10,WNBA,Regular Season,Regular
22023,1611661321,DAL,Dallas Wings,1022300023,2023-05-30,DAL vs. MIN,W,201,94,33,75,0.44,8,23,0.348,20,22,0.909,12,24,36,22,7,5,9,16,5.0,10,WNBA,Regular Season,Regular
22023,1611661329,CHI,Chicago Sky,1022300021,2023-05-30,CHI @ ATL,L,201,65,25,77,0.325,6,20,0.3,9,11,0.818,11,33,44,16,4,5,15,15,-18.0,10,WNBA,Regular Season,Regular
22023,1611661324,MIN,Minnesota Lynx,1022300023,2023-05-30,MIN @ DAL,L,200,89,33,68,0.485,9,18,0.5,14,17,0.824,7,27,34,21,3,2,15,20,-5.0,10,WNBA,Regular Season,Regular
22023,1611661328,SEA,Seattle Storm,1022300024,2023-05-30,SEA vs. NYL,L,200,78,28,73,0.384,6,18,0.333,16,21,0.762,12,23,35,16,3,3,7,22,-8.0,10,WNBA,Regular Season,Regular
