SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,league_id,league_name,season_type,season_type_name
22024,1612709903,SLC,Salt Lake City Stars,2022400409,2025-03-11,SLC @ MHU,W,241,121,42,94,0.447,20,45,0.444,10,12,0.833,17,26,43,28,4,2,10,15,2.0,20,G-League,Regular Season,Regular
22024,1612709909,DEL,Delaware Blue Coats,2022400406,2025-03-11,DEL vs. CPS,L,240,120,49,103,0.476,17,40,0.425,4,7,0.571,11,38,49,27,7,9,10,11,-4.0,20,G-League,Regular Season,Regular
22024,1612709904,SXF,Sioux Falls Skyforce,2022400408,2025-03-11,SXF vs. SDC,W,240,121,48,91,0.527,12,31,0.387,9,13,0.692,15,28,43,31,13,8,15,15,3.0,20,G-League,Regular Season,Regular
22024,1612709921,LIN,Long Island Nets,2022400405,2025-03-11,LIN @ WES,L,240,93,36,94,0.383,10,38,0.263,6,10,0.6,12,30,42,23,13,2,15,18,-17.0,20,G-League,Regular Season,Regular
22024,1612709890,AUS,Austin Spurs,2022400410,2025-03-11,AUS @ MXC,W,239,109,38,80,0.475,13,38,0.342,14,20,0.7,15,41,56,18,6,4,17,22,13.0,20,G-League,Regular Season,Regular
22024,1612709934,VAL,Valley Suns,2022400411,2025-03-11,VAL vs. RGV,W,240,123,40,83,0.482,19,43,0.442,17,20,0.85,6,27,33,25,6,8,14,19,5.0,20,G-League,Regular Season,Regular
22024,1612709925,OSC,Osceola Magic,2022400407,2025-03-11,OSC vs. GBO,W,241,118,39,80,0.488,14,39,0.359,14,20,0.7,5,37,42,33,8,5,9,20,14.0,20,G-League,Regular Season,Regular
22024,1612709924,SDC,San Diego Clippers,2022400408,2025-03-11,SDC @ SXF,L,241,118,44,94,0.468,18,44,0.409,7,10,0.7,13,29,42,29,10,3,18,17,-3.0,20,G-League,Regular Season,Regular
22024,1612709905,SBL,South Bay Lakers,2022400404,2025-03-10,SBL vs. MCC,L,239,97,32,76,0.421,14,35,0.4,11,15,0.733,11,26,37,24,11,4,23,14,-13.0,20,G-League,Regular Season,Regular
22024,1612709889,OKL,Oklahoma City Blue,2022400403,2025-03-10,OKL vs. IWA,W,241,123,45,96,0.469,18,44,0.409,9,10,0.9,17,43,60,30,9,10,21,20,30.0,20,G-League,Regular Season,Regular
22024,1612709932,MCC,Motor City Cruise,2022400404,2025-03-10,MCC @ SBL,W,240,110,47,92,0.511,9,31,0.29,4,10,0.4,14,30,44,28,16,8,17,21,13.0,20,G-League,Regular Season,Regular
22024,1612709911,IWA,Iowa Wolves,2022400403,2025-03-10,IWA @ OKL,L,240,93,32,84,0.381,11,34,0.324,9,15,0.6,11,28,39,22,14,5,19,18,-30.0,20,G-League,Regular Season,Regular
22024,1612709920,RAP,Raptors 905,2022400396,2025-03-09,RAP vs. CCG,L,241,94,33,96,0.344,13,43,0.302,9,14,0.643,17,29,46,22,10,4,15,19,-20.0,20,G-League,Regular Season,Regular
22024,1612709922,GBO,Greensboro Swarm,2022400398,2025-03-09,GBO @ OSC,L,241,110,40,93,0.43,10,35,0.286,11,13,0.846,12,32,44,24,9,5,16,19,-14.0,20,G-League,Regular Season,Regular
