gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,source_game_id,collection_timestamp,endpoint,estimatedTeamTurnoverPercentage
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1630847.0,Will,Vorhees,W. Vorhees,will-vorhees,C,,,13:12,96.4,96.4,118.5,118.5,-22.1,-22.1,0.0,0.0,0.0,0.063,0.125,0.094,0.0,0.25,0.25,0.118,0.118,100.0,100.0,83.33,28.0,0.0,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1630667.0,Kyle,Mangas,K. Mangas,kyle-mangas,G,,,34:35,135.1,135.1,101.3,101.3,33.8,33.8,0.088,0.0,16.7,0.037,0.048,0.043,0.0,0.643,0.672,0.183,0.183,103.41,103.41,86.17,74.0,0.102,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,203901.0,Elfrid,Payton,E. Payton,elfrid-payton,G,,,40:41,129.9,129.9,104.5,104.5,25.3,25.3,0.382,1.86,38.2,0.091,0.235,0.179,20.6,0.893,0.866,0.212,0.212,103.24,103.24,86.03,87.0,0.187,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1631131.0,Oscar,Tshiebwe,O. Tshiebwe,oscar-tshiebwe,,,,31:46,120.0,120.0,106.0,106.0,14.0,14.0,0.094,1.5,20.0,0.115,0.417,0.29,13.3,0.625,0.676,0.158,0.158,103.53,103.53,86.27,70.0,0.149,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1628591.0,Craig,Sword,C. Sword,craig-sword,,,,12:59,48.4,48.4,96.6,96.6,-48.2,-48.2,0.333,0.0,20.0,0.056,0.0,0.031,0.0,0.875,0.875,0.108,0.108,110.91,110.91,92.43,31.0,0.25,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1631209.0,Isaiah,Wong,I. Wong,isaiah-wong,,,,9:54,36.4,36.4,95.2,95.2,-58.9,-58.9,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.2,0.2,0.308,0.308,104.22,104.22,86.85,22.0,-0.205,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1630817.0,Pedro,Bradshaw,P. Bradshaw,pedro-bradshaw,,,,17:30,47.5,47.5,108.1,108.1,-60.6,-60.6,0.0,0.0,0.0,0.0,0.1,0.043,11.1,0.125,0.125,0.188,0.188,105.6,105.6,88.0,40.0,-0.135,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1630787.0,Cameron,McGriff,C. McGriff,cameron-mcgriff,,,,7:37,129.4,129.4,77.8,77.8,51.6,51.6,0.0,0.0,0.0,0.0,0.077,0.053,0.0,0.5,0.5,0.263,0.263,110.19,110.19,91.82,17.0,0.082,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1642057.0,Daniel,Giddens,D. Giddens,daniel-giddens,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1627208.0,Stephan,Hicks,S. Hicks,stephan-hicks,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1631340.0,Mojave,King,M. King,mojave-king,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,1641849.0,Darius,McGhee,D. McGhee,darius-mcghee,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022300449,2025-08-10T09:49:24.792496,BoxScoreAdvancedV3,
2022300449,1612709910,Fort Wayne,Mad Ants,FWN,mad-ants,,,,,,,,,240:00,552.9,110.6,524.3,104.9,28.6,5.7,0.532,1.47,17.5,0.34,0.793,0.59,16.3,0.549,0.594,1.0,0.983,20.7,103.5,86.25,104.0,0.545,2022300449,2025-08-10T09:49:24.794277,BoxScoreAdvancedV3,16.346
2022300449,1612709909,Delaware,Blue Coats,DEL,blue-coats,,,,,,,,,240:00,524.3,104.9,552.9,110.6,-28.6,-5.7,0.69,2.9,20.1,0.207,0.66,0.41,9.7,0.51,0.537,1.0,0.983,20.7,103.5,86.25,103.0,0.455,2022300449,2025-08-10T09:49:24.794277,BoxScoreAdvancedV3,9.709
2022200075,1612709890,Austin,Spurs,AUS,spurs,1630602.0,Chaundee,Brown Jr.,C. Brown Jr.,chaundee-brown-jr,F,,,35:02,106.8,106.8,105.6,105.6,1.3,1.3,0.095,2.0,8.0,0.143,0.132,0.137,4.0,0.6,0.666,0.288,0.288,99.33,99.33,82.78,73.0,0.188,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1631160.0,Jordan,Hall,J. Hall,jordan-hall,F,,,31:05,106.1,106.1,116.9,116.9,-10.9,-10.9,0.217,2.5,27.8,0.0,0.083,0.042,11.1,0.273,0.273,0.178,0.178,101.15,101.15,84.29,66.0,0.011,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1631230.0,Dominick,Barlow,D. Barlow,dominick-barlow,C,,,27:04,103.7,103.7,105.6,105.6,-1.9,-1.9,0.143,2.0,11.8,0.069,0.194,0.133,5.9,0.571,0.571,0.25,0.25,95.76,95.76,79.8,54.0,0.179,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1630778.0,Denzel,Mahoney,D. Mahoney,denzel-mahoney,G,,,36:25,126.7,126.7,102.7,102.7,24.0,24.0,0.125,0.0,28.6,0.0,0.05,0.028,0.0,0.65,0.689,0.12,0.12,98.86,98.86,82.38,75.0,0.075,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1630681.0,Marcus,Zegarowski,M. Zegarowski,marcus-zegarowski,G,,,28:24,95.1,95.1,127.1,127.1,-32.0,-32.0,0.111,1.0,15.4,0.0,0.069,0.032,15.4,0.667,0.667,0.164,0.164,101.4,101.4,84.5,61.0,0.083,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1631339.0,Tommy,Kuhse,T. Kuhse,tommy-kuhse,,,,19:08,135.0,135.0,78.0,78.0,57.0,57.0,0.316,3.0,37.5,0.0,0.273,0.176,12.5,0.438,0.438,0.222,0.222,101.6,101.6,84.67,40.0,0.14,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
2022200075,1612709890,Austin,Spurs,AUS,spurs,1641505.0,Justin,Kier,J. Kier,justin-kier,,,,28:28,120.6,120.6,106.3,106.3,14.3,14.3,0.24,2.0,35.3,0.0,0.03,0.018,17.6,0.714,0.825,0.155,0.155,106.24,106.24,88.53,63.0,0.092,2022200075,2025-08-10T09:49:32.357898,BoxScoreAdvancedV3,
