GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401191,1610612755,PHI,Philadelphia,1630600.0,Isaiah Mobley,,,17:22,4.46,1.41,4,9,13,38,0,0,30,5,1,3,0.333,1,4,0.25,0.285,3,5,0.6,0022401191,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:26.043141,
0022401191,1610612755,PHI,Philadelphia,1642348.0,Justin Edwards,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:26.043141,
0022401191,1610612755,PHI,Philadelphia,1626162.0,Kelly Oubre Jr.,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:26.043141,
0022401191,1610612755,PHI,Philadelphia,1627824.0,Guerschon Yabusele,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:26.043141,
0022401191,1610612741,CHI,Chicago,,,,,240:00,,18.53,32,76,105,436,5,4,304,29,23,42,0.548,24,61,0.393,0.456,15,25,0.6,0022401191,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:26.043141,Bulls
0022401191,1610612755,PHI,Philadelphia,,,,,240:00,,18.96,30,62,90,436,5,2,306,20,14,30,0.467,22,64,0.344,0.383,24,38,0.632,0022401191,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:26.043141,76ers
0022401199,1610612747,LAL,Los Angeles,1642261.0,Dalton Knecht,F,,37:22,3.93,2.64,8,11,16,64,0,0,36,0,3,8,0.375,6,13,0.462,0.428,5,6,0.833,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,202693.0,Markieff Morris,F,,32:48,3.67,2.11,1,8,8,45,0,0,33,6,2,3,0.667,3,7,0.429,0.5,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,203458.0,Alex Len,C,,13:33,4.3,1.02,2,9,11,21,0,1,16,1,1,1,1.0,1,3,0.333,0.5,5,8,0.625,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1629003.0,Shake Milton,G,,43:02,3.89,2.97,1,5,6,98,2,0,70,3,2,6,0.333,3,9,0.333,0.333,3,4,0.75,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1642355.0,Bronny James,G,,38:18,3.99,2.74,2,4,5,51,0,0,36,6,1,3,0.333,1,7,0.143,0.2,3,5,0.6,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1630692.0,Jordan Goodwin,,,30:13,4.28,2.32,4,6,10,49,1,0,31,4,2,6,0.333,3,8,0.375,0.356,4,5,0.8,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1631132.0,Christian Koloko,,,19:29,4.04,1.45,6,6,12,18,0,0,12,0,1,2,0.5,1,2,0.5,0.5,3,7,0.429,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1641998.0,Trey Jemison III,,,25:15,4.19,1.92,12,6,18,27,1,0,20,1,0,1,0.0,1,1,1.0,0.5,0,2,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1629637.0,Jaxson Hayes,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1629020.0,Jarred Vanderbilt,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612747,LAL,Los Angeles,1629216.0,Gabe Vincent,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
0022401199,1610612757,POR,Portland,1631200.0,Kris Murray,F,,29:50,4.19,2.24,8,12,20,53,0,2,34,3,0,6,0.0,4,9,0.444,0.267,2,4,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:27.329244,
