gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,19,,0,0,0,0,0,0,0,0,0,0,0,0,0022401191,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:24.431847
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,9,,0,0,0,0,0,0,0,0,0,0,0,0,0022401191,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:24.431847
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,28,,0,0,0,0,0,0,0,0,0,0,0,0,0022401191,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:24.431847
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,13,16,12,44,13,15,21,62,6,4,15,17,0022401191,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:24.431847
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,13,15,21,62,13,16,12,44,4,6,17,15,0022401191,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:24.431847
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642261.0,Dalton,Knecht,D. Knecht,dalton-knecht,F,,4,37:22,8,2,9,6,19,27,17,42,2,3,1,4,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,202693.0,Markieff,Morris,M. Morris,markieff-morris,F,,88,32:48,0,3,0,4,13,23,12,34,1,0,4,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,203458.0,Alex,Len,A. Len,alex-len,C,,27,13:33,0,0,0,4,9,17,6,18,1,0,6,0,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629003.0,Shake,Milton,S. Milton,shake-milton,G,,20,43:02,7,2,5,6,17,30,17,48,1,2,2,6,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642355.0,Bronny,James,B. James,bronny-james,G,,9,38:18,0,0,0,4,20,24,16,46,0,0,1,1,0022401199,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.125534
