GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp,GROUP_VALUE_ORDER,GROUP_VALUE_2
Points Against,L,14,0,14,0.0,304.75,53,123,0.431,21,64,0.328,9,13,0.692,12,38,50,15,11,7,3,4,25,8,136,-94,237.5,0,0,242.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1630598,PlayerDashboardByTeamPerformance,3,2025-08-10T12:54:05.634279,0.0,All
Overall,2024,5,2,3,0.4,126.20166666666667,29,68,0.426,18,45,0.4,4,6,0.667,3,10,13,7,3,3,0,2,9,8,80,-20,112.1,0,0,124.0,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:12.001359,,
Overall,2024-25,38,35,3,0.921,231.29833333333335,35,116,0.302,22,83,0.265,3,4,0.75,9,25,34,17,5,9,3,2,18,5,96,46,193.3,0,0,193.0,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1641745,PlayerDashboardByTeamPerformance,0,2025-08-10T12:54:12.001359,,
Score Differential,W,16,16,0,1.0,168.05,32,92,0.348,18,59,0.305,3,4,0.75,9,21,30,19,7,7,1,2,12,6,86,79,167.5,0,0,169.0,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,8,8,1,1,1,1,1,1,1,2,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,Over 20 Points
Score Differential,W,11,11,0,1.0,34.035,3,18,0.167,3,16,0.188,0,0,0.0,0,3,3,0,0,1,1,1,5,0,9,-36,18.6,0,0,19.0,2,2,1,1,5,5,4,7,4,4,5,4,4,4,4,3,3,4,3,3,1,6,7,5,5,8,4,1,1,4,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,16-20 Points
Score Differential,W,6,6,0,1.0,34.87833333333333,2,9,0.222,0,6,0.0,0,0,0.0,0,2,2,0,0,0,0,0,3,0,4,-7,6.4,0,0,6.0,3,3,1,1,4,6,5,6,6,5,6,4,4,4,4,5,6,4,3,6,4,1,5,5,6,6,6,1,1,6,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,11-15 Points
Score Differential,W,3,3,0,1.0,3.5933333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,4,4,1,1,8,8,8,8,6,8,6,4,4,4,4,7,7,4,3,6,4,1,1,5,8,3,8,1,1,8,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,6-10 Points
Score Differential,W,1,1,0,1.0,26.426666666666666,4,9,0.444,2,6,0.333,1,2,0.5,1,2,3,0,0,1,0,1,2,3,11,7,17.6,0,0,18.0,7,5,1,1,6,4,5,2,5,5,2,3,3,3,3,5,3,4,3,3,4,6,3,2,4,2,5,1,1,5,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,5 Points and Under
Score Differential,W,37,37,0,1.0,266.98333333333335,41,128,0.32,23,87,0.264,4,6,0.667,10,28,38,19,7,9,2,4,22,9,110,47,210.1,0,0,212.0,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,0.0,All
Score Differential,L,3,0,3,0.0,35.375,7,23,0.304,7,21,0.333,0,0,0.0,2,4,6,3,0,2,0,0,2,1,21,3,38.7,0,0,41.0,4,6,8,6,3,3,3,5,3,2,2,4,4,4,2,2,2,2,3,2,4,1,3,4,3,4,3,1,1,3,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,6-10 Points
Score Differential,L,2,0,2,0.0,51.375,15,30,0.5,10,18,0.556,3,4,0.75,0,3,3,2,1,1,0,0,3,3,43,-26,51.6,0,0,60.0,6,6,7,6,2,2,2,1,2,3,1,1,1,1,4,3,3,3,2,3,4,1,5,2,2,7,2,1,1,2,1,1641745,PlayerDashboardByTeamPerformance,1,2025-08-10T12:54:12.001359,,Over 20 Points
