GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Score Margin,1 - 5 Points,45,16,29,0.356,415.33,63,166,0.38,21,69,0.304,18,25,0.72,6,45,51,51,34,9,5,17,23,20,169,-84,314.7,0,0,320.0,2,2,4,2,1,1,1,4,2,1,4,1,1,5,2,1,1,1,1,1,1,6,4,1,1,6,1,1,1,1,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
By Score Margin,6 - 10 Points,45,16,29,0.356,304.295,56,128,0.438,23,54,0.426,14,17,0.824,7,32,39,38,22,7,1,7,32,16,155,-33,260.8,0,0,271.0,2,2,4,2,2,2,2,1,1,2,1,2,2,4,1,2,2,2,2,2,3,3,6,2,2,4,2,1,1,2,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
By Score Margin,11 - 15 Points,50,17,33,0.34,227.17666666666668,33,81,0.407,11,30,0.367,10,11,0.909,4,18,22,33,20,5,2,10,29,12,90,13,166.9,0,0,170.0,1,1,6,4,3,3,3,3,3,3,3,4,4,1,3,3,3,3,3,3,2,5,5,3,3,1,3,1,1,3,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
By Score Margin,16 - 20 Points,39,13,26,0.333,146.555,20,55,0.364,7,26,0.269,7,8,0.875,2,14,16,19,10,4,1,7,12,8,54,-47,106.7,0,0,106.0,5,5,3,5,5,5,5,6,5,5,5,5,5,2,5,4,5,4,4,5,3,3,2,5,5,5,5,1,1,5,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
By Score Margin,more than 20 Points,25,7,18,0.28,166.39166666666668,26,63,0.413,10,27,0.37,11,13,0.846,4,14,18,18,8,5,0,5,15,12,75,-4,130.6,0,0,131.0,6,6,1,6,4,4,4,2,4,4,2,3,3,3,3,4,4,5,5,3,6,2,3,3,4,2,4,1,1,4,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
By Actual Margin,Behind more than 20 Points,19,1,18,0.053,146.24333333333334,24,57,0.421,10,26,0.385,9,11,0.818,4,11,15,16,6,5,0,5,13,10,69,24,120.0,0,0,120.0,9,11,5,11,4,5,5,5,4,3,4,3,3,6,2,5,5,6,7,2,7,8,7,3,4,1,4,1,1,5,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Behind 16 - 20 Points,24,2,22,0.083,87.71166666666667,13,33,0.394,5,17,0.294,5,6,0.833,0,5,5,10,6,2,0,3,8,5,36,3,57.0,0,0,60.0,6,10,7,10,8,7,7,6,7,6,7,5,5,5,8,10,10,8,7,7,7,4,4,5,7,3,8,1,1,8,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Behind 11 - 15 Points,33,4,29,0.121,129.36,20,52,0.385,6,17,0.353,8,8,1.0,4,9,13,16,10,2,0,5,17,8,56,21,91.6,0,0,95.0,5,9,10,9,6,6,6,7,6,6,6,4,4,1,2,6,6,6,4,7,7,8,10,4,6,2,6,1,1,6,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Behind 6 - 10 Points,37,9,28,0.243,162.955,30,67,0.448,12,29,0.414,11,13,0.846,4,14,18,19,10,4,1,3,15,12,88,-10,143.1,0,0,147.0,3,7,9,8,3,2,2,3,1,2,3,2,2,4,2,4,4,3,4,3,4,4,9,2,2,6,2,1,1,2,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Behind 1 - 5 Points,42,13,29,0.31,233.46166666666667,35,107,0.327,11,46,0.239,14,20,0.7,5,24,29,30,18,7,3,15,10,16,98,-62,189.8,0,0,188.0,1,5,10,7,1,1,1,10,2,1,8,1,1,9,1,1,1,1,1,1,1,11,5,1,1,11,1,1,1,1,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Tied,40,16,24,0.4,61.08833333333333,6,16,0.375,1,8,0.125,0,2,0.0,0,6,6,6,6,3,1,2,3,2,13,-4,35.2,0,0,34.0,2,1,8,6,9,10,10,8,10,10,10,11,9,11,8,9,9,10,7,4,4,2,2,10,10,4,10,1,1,10,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Ahead 1 - 5 Points,37,16,21,0.432,181.86833333333334,28,59,0.475,10,23,0.435,4,5,0.8,1,21,22,21,16,2,2,2,13,4,71,-22,124.9,0,0,132.0,3,1,6,5,2,3,4,1,4,5,2,6,6,7,7,2,2,2,2,7,2,2,7,6,3,7,3,1,1,3,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Ahead 6 - 10 Points,22,14,8,0.636,141.34,26,61,0.426,11,25,0.44,3,4,0.75,3,18,21,19,12,3,0,4,17,4,67,-23,117.7,0,0,124.0,7,3,4,4,5,4,3,4,2,4,1,7,7,8,5,3,3,3,3,4,7,6,10,6,5,8,5,1,1,4,3,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Ahead 11 - 15 Points,20,14,6,0.7,97.81666666666666,13,29,0.448,5,13,0.385,2,3,0.667,0,9,9,17,10,3,2,5,12,4,34,-8,75.3,0,0,75.0,8,3,3,3,7,7,8,2,7,8,4,8,8,10,8,6,8,5,4,4,2,8,6,6,8,5,7,1,1,7,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Ahead 16 - 20 Points,16,12,4,0.75,58.843333333333334,7,22,0.318,2,9,0.222,2,2,1.0,2,9,11,9,4,2,1,4,4,3,18,-50,49.7,0,0,46.0,10,6,2,2,10,9,9,11,9,9,9,8,9,1,6,6,7,9,10,7,4,6,3,9,9,10,9,1,1,9,4,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
By Actual Margin,Ahead more than 20 Points,6,6,0,1.0,20.148333333333333,2,6,0.333,0,1,0.0,2,2,1.0,0,3,3,2,2,0,0,0,2,2,6,-28,10.6,0,0,11.0,11,8,1,1,11,11,11,9,11,11,11,8,9,1,8,11,11,11,11,11,7,1,1,10,11,9,11,1,1,11,3,1642358,PlayerDashboardByGameSplits,4,2025-08-10T12:50:03.736843
Overall,2024-25,62,39,23,0.629,792.2466666666667,117,268,0.437,72,181,0.398,34,41,0.829,13,65,78,83,37,19,11,11,64,49,340,88,611.1,0,0,633.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1628988,PlayerDashboardByGameSplits,0,2025-08-10T12:50:40.813987
By Half,First Half,45,29,16,0.644,330.035,47,114,0.412,29,76,0.382,5,7,0.714,3,26,29,26,14,6,5,7,28,12,128,45,220.8,0,0,234.0,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,2,1,1628988,PlayerDashboardByGameSplits,1,2025-08-10T12:50:40.814987
By Half,Second Half,60,38,22,0.633,459.1116666666667,70,154,0.455,43,105,0.41,27,32,0.844,10,39,49,57,23,13,6,4,36,36,210,41,388.3,0,0,397.0,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1628988,PlayerDashboardByGameSplits,1,2025-08-10T12:50:40.814987
By Half,Overtime,2,1,1,0.5,3.1,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,0,0,2.0,3,3,1,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,3,3,3,1,1,3,1,1628988,PlayerDashboardByGameSplits,1,2025-08-10T12:50:40.814987
By Period,1,30,22,8,0.733,106.45333333333333,19,39,0.487,11,26,0.423,4,5,0.8,0,7,7,9,2,1,2,2,12,6,53,6,81.9,0,0,86.0,4,4,2,1,4,4,4,2,4,4,2,3,3,3,4,4,4,4,4,4,3,2,2,3,4,3,4,1,1,4,1,1628988,PlayerDashboardByGameSplits,2,2025-08-10T12:50:40.814987
By Period,2,44,29,15,0.659,223.58166666666668,28,75,0.373,18,50,0.36,1,2,0.5,3,19,22,17,12,5,3,5,16,6,75,39,138.9,0,0,148.0,2,2,3,3,2,2,2,4,3,2,4,5,4,5,3,2,2,2,2,2,2,5,4,3,3,2,2,1,1,2,1,1628988,PlayerDashboardByGameSplits,2,2025-08-10T12:50:40.814987
By Period,3,39,23,16,0.59,139.68166666666667,28,55,0.509,19,41,0.463,9,9,1.0,5,14,19,12,7,3,0,2,12,9,84,65,126.8,0,0,140.0,3,3,4,4,3,2,3,1,2,3,1,2,2,1,1,3,3,3,3,3,4,2,2,2,2,1,3,1,1,3,1,1628988,PlayerDashboardByGameSplits,2,2025-08-10T12:50:40.814987
By Period,4,57,38,19,0.667,319.43,42,99,0.424,24,64,0.375,18,23,0.783,5,25,30,45,16,10,6,2,24,27,126,-24,261.5,0,0,257.0,1,1,5,2,1,1,1,3,1,1,3,1,1,4,1,1,1,1,1,1,1,2,5,1,1,5,1,1,1,1,1,1628988,PlayerDashboardByGameSplits,2,2025-08-10T12:50:40.814987
By Period,5,2,1,1,0.5,3.1,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,0,1,2,2,2.0,0,0,2.0,5,5,1,5,5,5,5,5,5,5,5,4,4,1,4,5,5,5,5,5,4,1,1,5,5,4,5,1,1,5,1,1628988,PlayerDashboardByGameSplits,2,2025-08-10T12:50:40.814987
By Score Margin,Tied,29,16,13,0.552,31.873333333333335,5,12,0.417,1,7,0.143,0,0,0.0,0,3,3,3,0,1,1,1,4,1,11,21,25.1,0,0,22.0,4,6,3,6,6,6,6,4,6,6,6,6,6,6,5,6,6,6,6,5,5,2,1,6,6,2,6,1,1,6,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Score Margin,1 - 5 Points,45,27,18,0.6,259.235,33,82,0.402,22,54,0.407,8,10,0.8,6,19,25,24,18,6,2,5,25,14,96,4,168.0,0,0,183.0,2,3,5,4,1,1,1,5,1,1,3,1,1,3,1,1,1,1,1,1,2,6,6,1,1,5,1,1,1,1,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Score Margin,6 - 10 Points,48,28,20,0.583,163.23833333333334,23,50,0.46,12,28,0.429,7,8,0.875,1,12,13,11,6,6,2,1,14,6,65,47,115.1,0,0,117.0,1,1,6,5,2,3,2,2,4,4,2,4,3,2,4,3,3,5,2,1,2,2,5,5,3,1,3,1,1,3,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Score Margin,11 - 15 Points,42,28,14,0.667,125.58333333333333,25,47,0.532,18,37,0.486,8,10,0.8,0,10,10,15,5,1,3,2,9,12,76,8,117.5,0,0,127.0,3,1,4,3,4,2,4,1,2,3,1,1,1,3,5,4,5,3,3,5,1,4,4,2,2,4,2,1,1,2,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Score Margin,16 - 20 Points,29,21,8,0.724,78.86666666666666,12,28,0.429,6,17,0.353,8,8,1.0,4,7,11,13,5,2,1,2,4,7,38,-3,74.7,0,0,74.0,4,4,2,2,5,5,5,3,5,5,4,1,3,1,2,5,4,4,3,4,5,4,1,4,5,6,5,1,1,5,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Score Margin,more than 20 Points,23,17,6,0.739,133.45,19,49,0.388,13,38,0.342,3,5,0.6,2,14,16,17,3,3,2,0,8,9,54,11,110.7,0,0,110.0,6,5,1,1,3,4,3,6,3,2,5,5,5,5,3,2,2,2,5,3,2,1,3,3,4,3,4,1,1,4,1,1628988,PlayerDashboardByGameSplits,3,2025-08-10T12:50:40.814987
By Actual Margin,Behind more than 20 Points,7,1,6,0.143,31.881666666666668,7,13,0.538,5,9,0.556,1,1,1.0,2,3,5,5,1,1,0,0,3,5,20,23,35.5,0,0,37.0,11,10,4,10,9,9,9,2,6,9,1,9,9,1,2,9,7,8,9,7,8,1,2,3,9,2,9,1,1,9,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Behind 16 - 20 Points,9,1,8,0.111,28.466666666666665,4,9,0.444,2,5,0.4,3,3,1.0,2,3,5,8,2,0,1,2,1,2,13,20,32.0,0,0,30.0,10,10,6,11,11,11,11,5,10,11,6,5,6,1,2,9,7,4,6,10,4,10,1,9,10,4,10,1,1,10,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Behind 11 - 15 Points,17,5,12,0.294,47.03,12,22,0.545,9,18,0.5,0,0,0.0,0,4,4,7,2,0,0,1,4,3,33,6,46.3,0,0,53.0,8,9,7,9,8,4,7,1,2,4,3,10,10,10,6,6,9,6,6,10,8,5,4,8,5,6,7,1,1,6,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Behind 6 - 10 Points,28,11,17,0.393,80.36,13,25,0.52,9,17,0.529,2,2,1.0,1,8,9,4,5,2,2,1,6,2,37,42,60.8,0,0,67.0,5,8,10,8,5,2,4,3,2,5,2,7,8,1,5,3,3,10,3,3,2,5,8,9,3,1,5,1,1,5,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Behind 1 - 5 Points,36,19,17,0.528,120.57833333333333,12,32,0.375,5,17,0.294,3,3,1.0,6,13,19,12,6,2,1,1,7,5,32,10,75.8,0,0,74.0,2,5,10,7,2,4,3,10,6,5,8,5,6,1,1,1,1,1,2,3,4,5,9,3,6,5,2,1,1,2,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Tied,29,16,13,0.552,31.873333333333335,5,12,0.417,1,7,0.143,0,0,0.0,0,3,3,3,0,1,1,1,4,1,11,21,25.1,0,0,22.0,4,6,8,6,10,10,10,8,11,10,11,10,10,10,6,9,11,11,11,7,4,5,4,11,11,3,11,1,1,11,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Ahead 1 - 5 Points,39,26,13,0.667,138.65666666666667,21,50,0.42,17,37,0.459,5,7,0.714,0,6,6,12,12,4,1,4,18,9,64,-6,92.2,0,0,109.0,1,1,8,5,1,1,1,7,1,1,5,2,2,8,6,4,4,1,1,1,4,11,11,1,1,9,1,1,1,1,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Ahead 6 - 10 Points,31,24,7,0.774,82.87833333333333,10,25,0.4,3,11,0.273,5,6,0.833,0,4,4,7,1,4,0,0,8,4,28,5,54.3,0,0,50.0,3,2,5,4,4,7,4,9,9,8,10,2,3,6,6,6,9,6,9,1,8,1,10,6,7,7,6,1,1,7,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Ahead 11 - 15 Points,26,24,2,0.923,78.55333333333333,13,25,0.52,9,19,0.474,8,10,0.8,0,6,6,8,3,1,3,1,5,9,43,2,71.2,0,0,74.0,6,2,3,3,6,2,4,3,2,3,4,1,1,7,6,4,4,4,4,7,1,5,6,1,2,8,4,1,1,2,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Ahead 16 - 20 Points,20,20,0,1.0,50.4,8,19,0.421,4,12,0.333,5,5,1.0,2,4,6,5,3,2,0,0,3,5,25,-23,42.7,0,0,44.0,7,4,1,1,7,8,8,6,8,7,7,2,4,1,2,6,4,8,4,3,8,1,2,3,8,11,8,1,1,8,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
By Actual Margin,Ahead more than 20 Points,16,16,0,1.0,101.56833333333333,12,36,0.333,8,29,0.276,2,4,0.5,0,11,11,12,2,2,2,0,5,4,34,-12,75.2,0,0,73.0,9,6,1,1,3,4,2,11,5,2,9,7,5,9,6,2,2,1,6,3,2,1,6,6,4,10,3,1,1,4,1,1628988,PlayerDashboardByGameSplits,4,2025-08-10T12:50:40.815987
Overall,2024-25,45,29,16,0.644,1121.6183333333333,192,379,0.507,84,195,0.431,73,80,0.913,37,141,178,54,37,35,17,22,114,77,541,198,954.6,0,0,961.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630174,PlayerDashboardByGameSplits,0,2025-08-10T12:50:47.741360
By Half,First Half,45,29,16,0.644,580.3966666666666,95,195,0.487,41,96,0.427,22,23,0.957,22,69,91,29,23,17,7,11,57,28,253,34,454.7,0,0,462.0,1,1,3,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,3,2,2,2,2,1,1,2,1,1630174,PlayerDashboardByGameSplits,1,2025-08-10T12:50:47.741360
By Half,Second Half,41,26,15,0.634,530.9516666666667,97,182,0.533,43,99,0.434,49,55,0.891,14,70,84,25,14,18,10,11,55,48,286,159,494.3,0,0,494.0,2,2,2,3,2,1,2,1,1,1,1,1,1,3,2,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1630174,PlayerDashboardByGameSplits,1,2025-08-10T12:50:47.741360
By Half,Overtime,3,2,1,0.667,10.27,0,2,0.0,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,0,2,1,2,5,5.6,0,0,5.0,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,3,3,3,1,1,3,1,1630174,PlayerDashboardByGameSplits,1,2025-08-10T12:50:47.741360
By Period,1,45,29,16,0.644,304.05333333333334,47,94,0.5,24,50,0.48,9,9,1.0,11,34,45,11,10,12,2,4,23,13,127,24,229.5,0,0,235.0,1,1,4,3,1,3,3,3,2,2,1,4,4,1,1,3,3,3,2,1,4,2,2,4,3,3,2,1,1,2,1,1630174,PlayerDashboardByGameSplits,2,2025-08-10T12:50:47.741360
By Period,2,45,29,16,0.644,276.3433333333333,48,101,0.475,17,46,0.37,13,14,0.929,11,35,46,18,13,5,5,7,34,15,126,10,225.2,0,0,227.0,1,1,4,3,3,2,2,4,3,3,4,3,3,3,1,2,2,1,1,4,2,5,5,3,4,4,4,1,1,3,1,1630174,PlayerDashboardByGameSplits,2,2025-08-10T12:50:47.741360
By Period,3,41,26,15,0.634,287.26,55,109,0.505,26,59,0.441,18,20,0.9,10,40,50,8,8,10,6,6,30,18,154,47,266.0,0,0,270.0,3,3,3,5,2,1,1,2,1,1,2,2,2,4,3,1,1,4,3,2,1,4,4,2,1,2,1,1,1,1,1,1630174,PlayerDashboardByGameSplits,2,2025-08-10T12:50:47.741360
By Period,4,37,25,12,0.676,243.69166666666666,42,73,0.575,17,40,0.425,31,35,0.886,4,30,34,17,6,8,4,5,25,30,132,112,228.3,0,0,224.0,4,4,2,1,4,4,4,1,3,4,3,1,1,5,4,4,4,2,4,3,3,3,3,1,2,1,3,1,1,4,1,1630174,PlayerDashboardByGameSplits,2,2025-08-10T12:50:47.741360
By Period,5,3,2,1,0.667,10.27,0,2,0.0,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,0,2,1,2,5,5.6,0,0,5.0,5,5,1,2,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,5,5,5,1,1,5,1,1630174,PlayerDashboardByGameSplits,2,2025-08-10T12:50:47.741360
By Score Margin,Tied,41,27,14,0.659,78.64833333333333,9,23,0.391,6,15,0.4,1,1,1.0,2,9,11,0,0,2,1,0,7,1,25,-25,47.2,0,0,48.0,3,4,4,4,4,5,5,5,4,4,3,5,5,1,4,5,5,6,6,4,4,1,3,5,5,6,5,1,1,5,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Score Margin,1 - 5 Points,45,29,16,0.644,453.1016666666667,68,146,0.466,27,76,0.355,40,44,0.909,12,63,75,22,14,14,7,6,52,35,203,89,375.0,0,0,369.0,1,1,6,5,1,1,1,3,2,1,4,1,1,4,2,1,1,1,1,1,1,5,6,1,1,2,1,1,1,1,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Score Margin,6 - 10 Points,44,29,15,0.659,311.72,62,104,0.596,30,55,0.545,21,24,0.875,13,31,44,17,13,11,7,9,25,23,175,47,294.3,0,0,302.0,2,1,5,3,2,2,2,1,1,2,1,2,2,5,1,2,2,2,2,2,1,6,5,2,2,3,2,1,1,2,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Score Margin,11 - 15 Points,41,28,13,0.683,182.61666666666667,41,72,0.569,17,33,0.515,6,6,1.0,6,20,26,7,6,7,2,2,21,13,105,92,167.7,0,0,173.0,3,3,3,1,3,3,3,2,3,3,2,3,3,1,3,3,3,3,3,3,3,3,4,3,3,1,3,1,1,3,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Score Margin,16 - 20 Points,27,18,9,0.667,69.99166666666666,10,25,0.4,3,11,0.273,5,5,1.0,2,12,14,6,1,1,0,1,4,4,28,-15,55.8,0,0,53.0,5,5,2,2,5,4,4,4,5,5,5,4,4,1,4,4,4,4,5,5,5,2,1,4,4,5,4,1,1,4,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Score Margin,more than 20 Points,9,5,4,0.556,25.54,2,9,0.222,1,5,0.2,0,0,0.0,2,6,8,2,3,0,0,4,5,1,5,10,14.6,0,0,16.0,6,6,1,6,6,6,6,6,6,6,6,6,6,6,4,6,6,5,4,6,5,4,2,5,6,4,6,1,1,6,1,1630174,PlayerDashboardByGameSplits,3,2025-08-10T12:50:47.741360
By Actual Margin,Behind more than 20 Points,5,1,4,0.2,9.416666666666666,1,4,0.25,0,2,0.0,0,0,0.0,0,2,2,2,2,0,0,2,1,0,2,20,5.4,0,0,6.0,10,11,4,11,11,10,11,10,11,10,11,10,10,10,11,11,11,7,6,8,7,6,1,11,11,5,11,1,1,11,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Behind 16 - 20 Points,15,6,9,0.4,39.358333333333334,8,20,0.4,2,10,0.2,3,3,1.0,1,8,9,4,1,1,0,0,1,2,21,21,39.8,0,0,38.0,8,9,6,10,8,8,8,7,8,8,10,6,6,1,9,7,7,6,8,7,7,1,1,7,8,4,8,1,1,8,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Behind 11 - 15 Points,27,14,13,0.519,86.13666666666667,21,36,0.583,10,16,0.625,4,4,1.0,3,6,9,2,4,7,2,2,12,7,56,94,92.8,0,0,95.0,6,7,7,9,6,5,5,2,5,6,2,5,5,1,5,8,7,7,5,3,4,6,8,5,5,2,5,1,1,5,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Behind 6 - 10 Points,31,17,14,0.548,177.28833333333333,38,67,0.567,17,34,0.5,16,18,0.889,8,19,27,8,8,8,4,7,16,15,109,11,181.4,0,0,185.0,4,6,9,8,3,1,3,3,1,3,4,2,2,7,1,3,3,4,1,1,2,11,9,2,1,6,3,1,1,2,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Behind 1 - 5 Points,41,25,16,0.61,235.21166666666667,34,74,0.459,13,38,0.342,15,15,1.0,5,29,34,11,7,8,5,5,26,11,96,119,185.3,0,0,180.0,2,3,11,7,1,2,1,6,3,1,8,3,3,1,3,2,2,1,2,1,1,10,10,3,3,1,2,1,1,3,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Tied,41,27,14,0.659,78.64833333333333,9,23,0.391,6,15,0.4,1,1,1.0,2,9,11,0,0,2,1,0,7,1,25,-25,47.2,0,0,48.0,2,2,9,6,7,7,7,9,7,7,6,9,9,1,7,6,6,10,10,6,6,1,5,9,7,9,7,1,1,7,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Ahead 1 - 5 Points,42,29,13,0.69,217.89,34,72,0.472,14,38,0.368,25,29,0.862,7,34,41,11,7,6,2,1,26,24,107,-30,189.7,0,0,189.0,1,1,7,5,2,2,2,5,2,1,7,1,1,8,2,1,1,1,2,4,4,4,10,1,2,10,1,1,1,1,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Ahead 6 - 10 Points,31,25,6,0.806,134.43166666666667,24,37,0.649,13,21,0.619,5,6,0.833,5,12,17,9,5,3,3,2,9,8,66,36,112.9,0,0,117.0,4,3,5,4,4,4,4,1,3,4,3,4,4,9,3,5,4,3,4,5,3,6,6,4,4,3,4,1,1,4,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Ahead 11 - 15 Points,19,18,1,0.947,96.48,20,36,0.556,7,17,0.412,2,2,1.0,3,14,17,5,2,0,0,0,9,6,49,-2,74.9,0,0,78.0,7,5,3,3,5,6,5,4,6,5,5,7,7,1,5,4,4,5,6,8,7,1,6,6,6,7,6,1,1,6,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Ahead 16 - 20 Points,13,13,0,1.0,30.633333333333333,2,5,0.4,1,1,1.0,2,2,1.0,1,4,5,2,0,0,0,1,3,2,7,-36,16.0,0,0,15.0,9,8,1,1,9,9,9,7,9,11,1,7,7,1,9,9,10,7,10,8,7,4,3,7,9,11,9,1,1,9,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
By Actual Margin,Ahead more than 20 Points,4,4,0,1.0,16.123333333333335,1,5,0.2,1,3,0.333,0,0,0.0,2,4,6,0,1,0,0,2,4,1,3,-10,9.2,0,0,10.0,11,10,1,1,10,10,9,11,9,9,9,10,10,10,7,9,9,10,8,8,7,6,4,9,10,8,10,1,1,10,1,1630174,PlayerDashboardByGameSplits,4,2025-08-10T12:50:47.742360
Overall,2024-25,76,62,14,0.816,1743.9,355,728,0.488,130,339,0.383,74,89,0.831,81,214,295,134,69,60,18,39,101,68,914,514,1634.0,2,0,1629.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630598,PlayerDashboardByGameSplits,0,2025-08-10T12:50:52.597933
By Half,First Half,76,62,14,0.816,911.56,197,375,0.525,70,174,0.402,27,36,0.75,30,112,142,72,44,38,6,18,56,32,491,282,857.4,2,0,863.0,1,1,2,1,1,1,1,1,1,1,1,2,2,3,2,1,2,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1630598,PlayerDashboardByGameSplits,1,2025-08-10T12:50:52.597933
