GAME_ID,HUSTLE_STATUS,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,TEAM_NAME
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1630542.0,Marcus Bagley,F,,43:20,10.0,9.0,7.0,2.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1641737.0,Adem Bona,C,,32:42,16.0,13.0,10.0,3.0,2.0,0.0,5.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1629656.0,Quentin Grimes,G,,35:12,8.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1630215.0,Jared Butler,G,,25:37,19.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1641741.0,Ricky Council IV,,,21:51,5.0,6.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1641720.0,Jalen Hood-Schifino,,,27:03,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,1,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,1630600.0,Isaiah Mobley,,,17:22,6.0,10.0,7.0,3.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,2,2025-08-10T12:45:11.587330,1610612741.0,CHI,Chicago,,,,,240.0:00,122.0,44.0,23.0,21.0,12.0,1.0,7.0,16.0,3.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,Bulls
0022401191,,0022401191,2025-04-13,HustleStatsBoxScore,2,2025-08-10T12:45:11.587330,1610612755.0,PHI,Philadelphia,,,,,240.0:00,102.0,50.0,29.0,21.0,24.0,0.0,7.0,17.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,76ers
0022401199,1.0,0022401199,2025-04-13,HustleStatsBoxScore,0,2025-08-10T12:45:29.836880,,,,,,,,,,,,,,,,,,,,,,,,,
