gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630215.0,Jared,Butler,J. Butler,jared-butler,G,,,25:37,7,17,0.412,1,6,0.167,4,4,1.0,0,1,1,5,1,1,4,2,19,-9.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641741.0,Ricky,Council IV,R. Council IV,ricky-council-iv,,,,21:51,1,6,0.167,1,4,0.25,2,2,1.0,1,3,4,0,0,1,1,0,5,-7.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,,27:03,2,9,0.222,1,4,0.25,2,2,1.0,1,1,2,3,0,0,2,2,7,-12.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,,17:22,2,7,0.286,1,3,0.333,1,2,0.5,1,3,4,5,1,1,0,3,6,-6.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401191,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:07.440238,
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,173:44,31,72,0.431,9,33,0.273,13,15,0.867,7,31,38,12,6,4,11,10,84,,0022401191,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:07.440238,Starters
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,173:44,5,22,0.227,3,11,0.273,5,6,0.833,3,7,10,8,1,2,3,5,18,,0022401191,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:07.440238,Bench
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,92:11,17,38,0.447,7,15,0.467,3,4,0.75,8,16,24,9,4,3,7,6,44,,0022401191,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:07.440238,Starters
