gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1629656.0,Quentin,Grimes,Q. Grimes,quentin-grimes,G,,,35:12,0.357,0.643,0.75,0.0,0.0,0.25,0.25,0.0,0.75,0.333,0.667,0.0,0.0,0.333,0.667,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630215.0,Jared,Butler,J. Butler,jared-butler,G,,,25:37,0.647,0.353,0.632,0.105,0.158,0.211,0.211,0.211,0.526,0.5,0.5,1.0,0.0,0.571,0.429,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641741.0,Ricky,Council IV,R. Council IV,ricky-council-iv,,,,21:51,0.333,0.667,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,,27:03,0.556,0.444,0.286,0.0,0.429,0.429,0.286,0.0,0.286,0.0,1.0,0.0,1.0,0.0,1.0,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,,17:22,0.571,0.429,0.333,0.0,0.5,0.0,0.167,0.0,0.333,0.0,1.0,1.0,0.0,0.5,0.5,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreScoringV3,0,2025-08-10T12:36:52.462672
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,0.532,0.468,0.471,0.039,0.353,0.118,0.176,0.127,0.431,0.458,0.542,0.75,0.25,0.556,0.444,0022401191,2025-04-13,BoxScoreScoringV3,1,2025-08-10T12:36:52.462672
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,0.612,0.388,0.557,0.049,0.32,0.172,0.123,0.107,0.508,0.559,0.441,0.769,0.231,0.617,0.383,0022401191,2025-04-13,BoxScoreScoringV3,1,2025-08-10T12:36:52.462672
