GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
Starting Position,Starters,28,12,16,0.429,883.93,171,414,0.413,59,178,0.331,65,97,0.67,21,107,128,64,47,33,5,33,72,99,497,2,813.6,0,0,824.0,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,3,1630639,PlayerDashboardByGeneralSplits,5,2025-08-10T12:51:18.554711
Starting Position,Bench,26,15,11,0.577,481.42333333333335,92,192,0.479,37,96,0.385,46,68,0.676,18,72,90,29,20,15,8,10,41,42,268,-14,468.5,2,0,470.0,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,1630639,PlayerDashboardByGeneralSplits,5,2025-08-10T12:51:18.554711
Days Rest,0 Days Rest,10,3,7,0.3,293.59166666666664,58,128,0.453,18,56,0.321,18,27,0.667,5,28,33,19,10,18,5,4,23,20,157,-47,284.1,0,0,273.0,3,3,6,5,2,2,3,3,3,3,5,3,3,3,3,3,3,3,3,1,2,4,6,3,2,7,2,2,1,2,3,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,1 Days Rest,28,17,11,0.607,641.875,129,275,0.469,46,130,0.354,59,84,0.702,16,97,113,42,32,13,7,22,59,67,378,-1,604.6,2,0,619.0,1,1,7,2,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,2,1,7,7,1,1,5,1,1,1,1,3,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,2 Days Rest,11,5,6,0.455,288.92,54,141,0.383,22,64,0.344,20,33,0.606,13,33,46,21,19,13,0,11,20,35,157,19,263.7,0,0,272.0,2,2,5,4,3,3,2,5,2,2,4,2,2,4,2,2,2,2,2,2,4,6,5,2,2,1,3,2,1,3,2,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,3 Days Rest,1,0,1,0.0,4.15,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,5,3.0,0,0,4.0,5,6,2,6,7,7,7,1,5,7,1,7,7,7,7,7,7,7,6,7,4,1,1,7,7,3,7,2,1,7,1,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,4 Days Rest,2,1,1,0.5,75.13333333333334,14,33,0.424,8,15,0.533,3,6,0.5,2,11,13,7,2,2,0,4,5,8,41,9,71.1,0,0,73.0,4,4,2,3,4,4,4,4,4,4,2,6,6,6,4,4,4,4,5,4,4,4,3,4,4,2,4,2,1,4,1,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,5 Days Rest,1,1,0,1.0,32.266666666666666,3,12,0.25,0,3,0.0,4,7,0.571,1,4,5,3,4,1,0,1,6,7,13,4,22.5,0,0,23.0,5,4,1,1,5,6,6,6,7,6,7,5,5,5,6,6,6,5,4,5,4,2,4,5,6,4,6,2,1,6,1,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Days Rest,6+ Days Rest,1,0,1,0.0,29.416666666666668,4,16,0.25,1,5,0.2,7,8,0.875,2,6,8,1,0,1,1,1,0,4,16,-1,33.1,0,0,30.0,5,6,2,6,6,5,5,6,5,5,6,4,4,1,4,5,5,6,6,5,3,2,1,6,5,5,5,2,1,5,1,1630639,PlayerDashboardByGeneralSplits,6,2025-08-10T12:51:18.554711
Overall,2024-25,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,0,2025-08-10T12:51:26.149839
Location,Home,35,24,11,0.686,854.7266666666667,101,237,0.426,86,206,0.417,11,14,0.786,11,87,98,60,17,25,2,1,76,23,299,173,570.6,0,0,597.0,2,1,2,2,1,1,1,3,1,1,3,1,1,2,1,1,1,1,2,1,2,1,3,2,1,1,1,1,1,1,1,1631260,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:26.149839
Location,Neutral,1,1,0,1.0,19.216666666666665,3,6,0.5,3,6,0.5,0,0,0.0,0,1,1,1,2,0,0,1,6,0,9,6,9.7,0,0,14.0,3,3,1,1,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,1,1,3,1,1631260,PlayerDashboardByGeneralSplits,1,2025-08-10T12:51:26.149839
