GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401191,1610612755,PHI,Philadelphia,1630600.0,Isaiah Mobley,Isaiah,,,17:22,0.0,1.0,0.0,2.0,2.0,6.0,7.0,22.0,1.0,0.0,3.0,1.0,0022401191,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:44.909849,
0022401191,1610612755,PHI,Philadelphia,1642348.0,Justin Edwards,Justin,,DND - Injury/Illness,,,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:44.909849,
0022401191,1610612755,PHI,Philadelphia,1626162.0,Kelly Oubre Jr.,Kelly,,DND - Injury/Illness,,,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:44.909849,
0022401191,1610612755,PHI,Philadelphia,1627824.0,Guerschon Yabusele,Guerschon,,DND - Injury/Illness,,,,,,,,,,,,,,0022401191,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:44.909849,
0022401191,1610612755,PHI,Philadelphia,,,,,,240:00,13.0,16.0,12.0,44.0,13.0,15.0,21.0,62.0,6.0,4.0,15.0,17.0,0022401191,2025-04-13,BoxScoreMiscV2,1,2025-08-10T12:34:44.910851,76ers
0022401191,1610612741,CHI,Chicago,,,,,,240:00,13.0,15.0,21.0,62.0,13.0,16.0,12.0,44.0,4.0,6.0,17.0,15.0,0022401191,2025-04-13,BoxScoreMiscV2,1,2025-08-10T12:34:44.910851,Bulls
0022401199,1610612747,LAL,Los Angeles,1642261.0,Dalton Knecht,Dalton,F,,37:22,8.0,2.0,9.0,6.0,19.0,27.0,17.0,42.0,2.0,3.0,1.0,4.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,202693.0,Markieff Morris,Markieff,F,,32:48,0.0,3.0,0.0,4.0,13.0,23.0,12.0,34.0,1.0,0.0,4.0,0.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,203458.0,Alex Len,Alex,C,,13:33,0.0,0.0,0.0,4.0,9.0,17.0,6.0,18.0,1.0,0.0,6.0,0.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1629003.0,Shake Milton,Shake,G,,43:02,7.0,2.0,5.0,6.0,17.0,30.0,17.0,48.0,1.0,2.0,2.0,6.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1642355.0,Bronny James,Bronny,G,,38:18,0.0,0.0,0.0,4.0,20.0,24.0,16.0,46.0,0.0,0.0,1.0,1.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1630692.0,Jordan Goodwin,Jordan,,,30:13,0.0,0.0,0.0,4.0,9.0,25.0,7.0,34.0,0.0,0.0,0.0,1.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1631132.0,Christian Koloko,Christian,,,19:29,0.0,0.0,0.0,4.0,6.0,8.0,7.0,14.0,5.0,0.0,3.0,2.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1641998.0,Trey Jemison III,Trey,,,25:15,0.0,1.0,0.0,2.0,12.0,16.0,13.0,24.0,1.0,1.0,4.0,2.0,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1629637.0,Jaxson Hayes,Jaxson,,DNP - Coach's Decision,,,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
0022401199,1610612747,LAL,Los Angeles,1629020.0,Jarred Vanderbilt,Jarred,,DNP - Coach's Decision,,,,,,,,,,,,,,0022401199,2025-04-13,BoxScoreMiscV2,0,2025-08-10T12:34:45.574040,
