GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Year,2022-23,1610612742,DAL,2023-04-09T00:00:00,14,4,10,0.286,106.50166666666667,21,43,0.488,10,25,0.4,2,8,0.25,6,14,20,2,3,2,0,3,10,6,54,-41,84.0,0,0,90.0,5,5,9,10,9,9,9,5,7,8,3,10,10,11,6,10,10,11,11,10,11,5,6,10,10,11,10,5,1,10,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2022-23,1612709918,TEX,2023-03-25T00:00:00,9,1,8,0.111,267.12166666666667,68,142,0.479,19,58,0.328,16,20,0.8,23,56,79,17,15,15,6,9,17,28,181,-64,349.3,2,0,338.0,6,10,8,12,5,4,4,7,4,4,6,6,7,3,2,4,4,5,3,3,2,11,9,4,4,13,4,2,1,4,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2022-23,1610612750,MIN,2022-11-16T00:00:00,1,1,0,1.0,1.7666666666666666,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,2,-5,3.2,0,0,3.0,13,10,1,1,13,12,13,1,12,13,12,12,12,12,12,13,13,13,13,13,11,1,1,12,12,8,13,5,1,13,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2022,1610612742,DAL,2022-07-16T00:00:00,5,0,5,0.0,147.58333333333334,27,52,0.519,13,26,0.5,11,13,0.846,6,24,30,7,11,4,3,6,16,18,78,-51,134.5,1,0,142.0,7,13,7,13,6,7,7,2,5,7,1,9,9,2,6,6,6,8,6,9,5,8,8,7,7,12,8,4,1,7,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2021-22,1612709929,CPS,2022-04-02T00:00:00,33,20,13,0.606,1049.38,150,312,0.481,50,148,0.338,24,44,0.545,42,176,218,56,33,39,12,8,96,65,390,47,855.6,4,0,816.0,2,2,12,6,1,2,2,6,2,1,5,3,3,10,1,1,1,1,2,1,1,9,13,2,2,2,1,1,1,1,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2021,-1,TOT,2021-08-16T00:00:00,6,4,2,0.667,104.88833333333334,8,29,0.276,2,18,0.111,2,2,1.0,2,16,18,8,6,3,1,1,12,6,20,-6,59.6,0,0,56.0,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,3,3,2,3,3,1,3,2,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2021,1610612737,ATL,2021-08-16T00:00:00,4,2,2,0.5,83.41666666666667,7,26,0.269,2,16,0.125,2,2,1.0,2,14,16,7,4,2,1,1,9,6,18,-2,52.7,0,0,49.0,10,8,5,9,11,11,11,13,11,11,11,10,11,1,11,10,11,8,10,10,8,3,5,10,11,6,11,5,1,11,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
By Year,2021,1610612748,MIA,2021-08-04T00:00:00,2,2,0,1.0,21.471666666666668,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,1,2,1,0,0,3,0,2,-4,6.9,0,0,7.0,12,8,1,1,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,1,2,12,12,7,12,5,1,12,1,1630639,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:31.309346
Overall,2024-25,1610612749,MIL,2025-04-13T00:00:00,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByYearOverYear,0,2025-08-10T12:54:36.363266
By Year,2024-25,1610612749,MIL,2025-04-13T00:00:00,73,44,29,0.603,1659.1416666666667,182,424,0.429,155,363,0.427,22,27,0.815,18,156,174,108,40,37,7,3,157,50,541,227,1003.8,0,0,1066.0,1,1,7,4,1,1,1,2,1,1,3,1,1,5,1,1,1,1,1,1,1,6,7,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:36.363266
