gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,effectiveFieldGoalPercentage,freeThrowAttemptRate,teamTurnoverPercentage,offensiveReboundPercentage,oppEffectiveFieldGoalPercentage,oppFreeThrowAttemptRate,oppTeamTurnoverPercentage,oppOffensiveReboundPercentage,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,17,27:03,0.36,0.193,0.084,0.024,0.5,0.158,0.1,0.233,0022401191,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.036931
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,15,17:22,0.403,0.278,0.076,0.04,0.514,0.286,0.102,0.235,0022401191,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.036931
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.036931
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.036931
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.036931
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,0.447,0.223,0.14,0.233,0.519,0.194,0.121,0.339,0022401191,2025-04-13,BoxScoreFourFactorsV3,1,2025-08-10T12:24:51.036931
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,0.519,0.194,0.121,0.339,0.447,0.223,0.14,0.233,0022401191,2025-04-13,BoxScoreFourFactorsV3,1,2025-08-10T12:24:51.036931
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642261.0,Dalton,Knecht,D. Knecht,dalton-knecht,F,,4,37:22,0.406,0.219,0.226,0.045,0.519,0.273,0.157,0.489,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,202693.0,Markieff,Morris,M. Morris,markieff-morris,F,,88,32:48,0.462,0.189,0.199,0.0,0.539,0.219,0.171,0.472,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,203458.0,Alex,Len,A. Len,alex-len,C,,27,13:33,0.553,0.211,0.262,0.0,0.514,0.286,0.132,0.619,0022401199,2025-04-13,BoxScoreFourFactorsV3,0,2025-08-10T12:24:51.689724
