gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1629656.0,Quentin,Grimes,Q. Grimes,quentin-grimes,G,,5,35:12,4.34,2.7,1,9,9,71,0,0,49,4,2,3,0.667,1,11,0.091,0.214,5,6,0.833,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630215.0,Jared,Butler,J. Butler,jared-butler,G,,12,25:37,4.42,2.03,2,2,4,58,1,0,33,5,3,6,0.5,4,11,0.364,0.412,1,4,0.25,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641741.0,Ricky,Council IV,R. Council IV,ricky-council-iv,,,14,21:51,4.41,1.75,4,7,11,27,1,0,16,0,0,2,0.0,1,4,0.25,0.167,1,3,0.333,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,17,27:03,4.49,2.17,1,2,3,64,0,0,51,3,1,2,0.5,1,7,0.143,0.222,2,2,1.0,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,15,17:22,4.46,1.41,4,9,13,38,0,0,30,5,1,3,0.333,1,4,0.25,0.286,3,5,0.6,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,19,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,28,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401191,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:01.697348
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,,18.96,30,62,90,436,5,2,306,20,14,30,0.467,22,64,0.344,0.383,24,38,0.632,0022401191,2025-04-13,BoxScorePlayerTrackV3,1,2025-08-10T12:35:01.697348
0022401191,1610612741,Chicago,Bulls,CHI,bulls,,,,,,,,,240:00,,18.53,32,76,105,436,5,4,304,29,23,42,0.548,24,61,0.393,0.456,15,25,0.6,0022401191,2025-04-13,BoxScorePlayerTrackV3,1,2025-08-10T12:35:01.697348
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642261.0,Dalton,Knecht,D. Knecht,dalton-knecht,F,,4,37:22,3.93,2.64,8,11,16,64,0,0,36,0,3,8,0.375,6,13,0.462,0.429,5,6,0.833,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,202693.0,Markieff,Morris,M. Morris,markieff-morris,F,,88,32:48,3.67,2.11,1,8,8,45,0,0,33,6,2,3,0.667,3,7,0.429,0.5,1,2,0.5,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,203458.0,Alex,Len,A. Len,alex-len,C,,27,13:33,4.3,1.02,2,9,11,21,0,1,16,1,1,1,1.0,1,3,0.333,0.5,5,8,0.625,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1629003.0,Shake,Milton,S. Milton,shake-milton,G,,20,43:02,3.89,2.97,1,5,6,98,2,0,70,3,2,6,0.333,3,9,0.333,0.333,3,4,0.75,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,1642355.0,Bronny,James,B. James,bronny-james,G,,9,38:18,3.99,2.74,2,4,5,51,0,0,36,6,1,3,0.333,1,7,0.143,0.2,3,5,0.6,0022401199,2025-04-13,BoxScorePlayerTrackV3,0,2025-08-10T12:35:02.623747
