gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641737.0,Adem,Bona,A. Bona,adem-bona,C,,,32:42,0.159,0.231,0.148,0.0,0.0,0.364,0.462,0.333,0.28,0.29,0.0,0.077,0.2,0.4,0.333,0.3,0.417,0.232,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1629656.0,Quentin,Grimes,Q. Grimes,quentin-grimes,G,,,35:12,0.213,0.107,0.209,0.0,0.3,0.167,0.133,0.0,0.241,0.194,0.286,0.308,0.0,0.0,0.0,0.222,0.083,0.107,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630215.0,Jared,Butler,J. Butler,jared-butler,G,,,25:37,0.359,0.35,0.378,0.2,0.3,0.4,0.333,0.0,0.048,0.042,0.417,0.333,0.2,0.333,0.667,0.222,0.273,0.345,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641741.0,Ricky,Council IV,R. Council IV,ricky-council-iv,,,,21:51,0.138,0.077,0.133,0.167,0.167,0.25,0.25,0.2,0.15,0.16,0.0,0.167,0.0,0.5,1.0,0.0,0.375,0.125,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1641720.0,Jalen,Hood-Schifino,J. Hood-Schifino,jalen-hood-schifino,,,,27:03,0.171,0.118,0.158,0.143,0.143,0.2,0.182,0.143,0.043,0.067,0.333,0.4,0.0,0.0,0.0,0.286,0.111,0.137,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1630600.0,Isaiah,Mobley,I. Mobley,isaiah-mobley,,,,17:22,0.17,0.182,0.194,0.143,0.167,0.111,0.2,0.25,0.231,0.235,0.714,0.0,0.5,1.0,0.0,0.429,0.167,0.158,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1642348.0,Justin,Edwards,J. Edwards,justin-edwards,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1626162.0,Kelly,Oubre Jr.,K. Oubre Jr.,kelly-oubre-jr,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,1627824.0,Guerschon,Yabusele,G. Yabusele,guerschon-yabusele,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401191,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.187268
0022401191,1610612755,Philadelphia,76ers,PHI,sixers,,,,,,,,,240:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0022401191,2025-04-13,BoxScoreUsageV3,1,2025-08-10T12:39:41.187268
