SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,player_id,endpoint,dataframe_index,collection_timestamp
22024,1630174,0022400959,"Mar 14, 2025",IND @ PHI,W,28,6,11,0.545,3,6,0.5,1,2,0.5,1,2,3,2,1,0,0,3,16,23,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400942,"Mar 11, 2025",IND vs. MIL,W,31,4,11,0.364,1,4,0.25,0,0,0.0,0,4,4,1,1,0,1,3,9,-13,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400933,"Mar 10, 2025",IND @ CHI,L,23,3,9,0.333,3,7,0.429,0,0,0.0,1,4,5,2,1,1,0,1,9,-18,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400914,"Mar 08, 2025",IND @ ATL,L,34,6,12,0.5,2,6,0.333,0,0,0.0,0,1,1,2,2,0,2,3,14,8,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400899,"Mar 06, 2025",IND @ ATL,L,35,8,15,0.533,4,9,0.444,1,1,1.0,0,3,3,2,1,2,1,3,21,1,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400882,"Mar 04, 2025",IND vs. HOU,W,34,7,13,0.538,1,6,0.167,1,1,1.0,0,5,5,0,1,0,0,2,16,18,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400868,"Mar 02, 2025",IND vs. CHI,W,29,9,16,0.563,6,11,0.545,3,4,0.75,2,3,5,1,0,0,1,3,27,28,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400854,"Feb 28, 2025",IND @ MIA,L,35,3,8,0.375,1,4,0.25,0,0,0.0,2,4,6,2,0,1,0,1,7,4,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400837,"Feb 26, 2025",IND vs. TOR,W,24,5,9,0.556,2,5,0.4,0,0,0.0,1,4,5,3,0,0,4,3,12,10,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
22024,1630174,0022400822,"Feb 24, 2025",IND vs. DEN,L,33,5,10,0.5,2,6,0.333,5,5,1.0,0,4,4,0,1,2,2,1,17,1,1,1630174,PlayerGameLog,0,2025-08-10T12:49:43.080596
